"id","Temp_C","Visibility_km","Press_kPa","Weather","Date/Time","Dew Point Temp_C","Rel Hum_%","Wind_Speed_km_h"
68,-16.9,25.0,101.74,Clear,"2012-01-03 19:00:00",-24.8,50,24.0
115,-7.1,25.0,100.71,Clear,"2012-01-05 18:00:00",-14.4,56,11.0
116,-9.2,25.0,100.8,Clear,"2012-01-05 19:00:00",-15.4,61,7.0
117,-9.8,25.0,100.83,Clear,"2012-01-05 20:00:00",-15.7,62,9.0
118,-9.0,25.0,100.83,Clear,"2012-01-05 21:00:00",-14.8,63,13.0
242,-10.7,25.0,101.49,Clear,"2012-01-11 01:00:00",-17.8,56,17.0
243,-12.0,25.0,101.57,Clear,"2012-01-11 02:00:00",-18.9,56,19.0
244,-12.7,25.0,101.64,Clear,"2012-01-11 03:00:00",-19.4,57,19.0
245,-13.4,25.0,101.66,Clear,"2012-01-11 04:00:00",-20.1,57,17.0
345,-23.3,24.1,102.45,Clear,"2012-01-15 08:00:00",-28.5,62,7.0
352,-15.4,48.3,102.71,Clear,"2012-01-15 15:00:00",-22.8,53,24.0
353,-15.1,48.3,102.79,Clear,"2012-01-15 16:00:00",-22.8,52,24.0
354,-16.2,25.0,102.85,Clear,"2012-01-15 17:00:00",-23.2,55,15.0
355,-16.3,25.0,102.89,Clear,"2012-01-15 18:00:00",-22.9,57,17.0
356,-16.3,25.0,102.94,Clear,"2012-01-15 19:00:00",-22.7,58,20.0
357,-16.7,25.0,102.98,Clear,"2012-01-15 20:00:00",-22.4,61,17.0
358,-16.9,25.0,103.02,Clear,"2012-01-15 21:00:00",-22.2,63,15.0
359,-16.9,25.0,103.07,Clear,"2012-01-15 22:00:00",-21.7,66,17.0
360,-16.9,25.0,103.09,Clear,"2012-01-15 23:00:00",-21.4,68,15.0
361,-17.1,25.0,103.09,Clear,"2012-01-16 00:00:00",-21.9,66,15.0
362,-17.8,25.0,103.05,Clear,"2012-01-16 01:00:00",-22.7,65,6.0
363,-18.5,25.0,103.08,Clear,"2012-01-16 02:00:00",-23.0,68,6.0
364,-19.2,25.0,103.07,Clear,"2012-01-16 03:00:00",-23.8,67,6.0
365,-18.7,25.0,103.05,Clear,"2012-01-16 04:00:00",-23.5,66,0.0
366,-19.1,25.0,103.02,Clear,"2012-01-16 05:00:00",-23.3,69,0.0
367,-18.7,25.0,103.01,Clear,"2012-01-16 06:00:00",-23.2,68,0.0
426,-11.3,48.3,101.54,Clear,"2012-01-18 17:00:00",-18.8,54,26.0
